,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ig01,ig02,ig03,ig04,ig05,ig06,ig07,ig08
90,WBGene00009430,2130.156039,0.8935074416,0.05080048714,17.5885605,3.01E-69,5.75E-67,1523.826033,2655.854785,1601.249711,2865.015413,1440.684483,2821.323098,1404.789542,2728.505246
91,WBGene00016669,38815.68013,0.8164616338,0.04652148732,17.55020488,5.93E-69,1.12E-66,26494.40332,46502.22785,27721.46571,49880.43758,28010.16294,52469.31616,30243.00234,49204.42514
92,WBGene00001475,297.0279048,2.352659756,0.1342470151,17.5248571,9.26E-69,1.73E-66,97.14737913,417.5363633,93.79136678,433.7230156,88.49413288,563.9088411,109.6635084,571.958631
93,WBGene00001076,4019.504226,3.120123491,0.1781143601,17.51752913,1.05E-68,1.94E-66,986.2772015,6543.087997,633.4315496,6696.744448,753.0850708,8798.401035,942.0095369,6802.99697
94,WBGene00000693,51687.80725,1.098426252,0.06318021691,17.38560433,1.06E-67,1.92E-65,32282.53669,60779.34291,35991.41753,73390.05766,32553.45172,76971.77792,30817.63912,70716.23449
95,WBGene00009041,799.3152971,3.078511954,0.1770743274,17.38542227,1.06E-67,1.92E-65,192.444332,1457.838828,123.6958605,1169.830387,166.3689698,1720.188799,191.9111396,1372.244061
96,WBGene00020662,16564.94977,0.8351090422,0.04821050769,17.32213748,3.20E-67,5.73E-65,12333.09108,20041.74544,12504.15628,21596.04635,11890.95664,22354.44937,10876.42676,20922.72621
97,WBGene00013882,1008.896238,-1.130675195,0.06535608906,-17.30022728,4.69E-67,8.30E-65,1451.659408,594.4585511,1410.948387,687.2371726,1282.279985,604.8233627,1399.306367,640.4566706
98,WBGene00012213,1738.351461,0.9401529623,0.05454551173,17.23611957,1.42E-66,2.49E-64,1183.347599,2284.823683,1079.280366,2377.840617,1282.279985,2239.625334,1212.878403,2246.7357
99,WBGene00011979,199.21692,2.256962906,0.1311699044,17.2064081,2.38E-66,4.12E-64,71.24141137,334.635681,59.80898751,325.2922617,68.14048232,357.5573409,75.66782077,301.3913744
100,WBGene00010742,231.605112,2.17310224,0.126327815,17.20208839,2.56E-66,4.40E-64,96.222166,366.9871667,62.52757786,357.3633297,83.18448491,415.3713388,91.02071194,380.16412
101,WBGene00000712,659.5195285,3.201762847,0.1863422477,17.18216286,3.61E-66,6.14E-64,166.5383642,1272.828768,120.9772702,1424.871738,115.9273141,1130.486021,112.9534136,931.5733391
102,WBGene00044080,6007.328428,0.7408917521,0.04318955497,17.15441969,5.82E-66,9.81E-64,4418.817931,7217.414279,4205.659258,7725.309417,4734.436109,7577.19151,4625.606783,7554.192138
103,WBGene00022441,156.7706947,3.166462229,0.1847902738,17.13543772,8.07E-66,1.35E-63,37.93373852,279.0315648,28.54519859,229.8426544,23.89341588,326.4267266,35.09232268,293.3999364
104,WBGene00010835,168.1230574,2.687796409,0.156881245,17.13268154,8.47E-66,1.40E-63,45.3354436,264.8777898,47.57533098,281.7672408,41.59224245,341.5473107,47.1553086,275.1337925
105,WBGene00013654,2438.394371,1.176017255,0.06876443645,17.10211435,1.43E-65,2.34E-63,1509.947836,3179.544461,1336.187153,3068.895774,1619.442632,3738.342049,1511.163145,3543.631917
106,WBGene00000219,29725.3372,0.688218307,0.04030917545,17.07349008,2.34E-65,3.79E-63,21958.08332,34479.60695,23458.71606,38346.30704,23065.11079,37926.87207,22593.97263,35974.02878
107,WBGene00022180,173.3262874,2.64700417,0.1551288578,17.06326088,2.79E-65,4.47E-63,52.73714867,298.2402595,43.49744546,259.6229319,51.32659707,341.5473107,41.67213318,297.9664724
108,WBGene00020194,157.97258,3.213730811,0.1883768256,17.06011767,2.94E-65,4.68E-63,35.15809912,297.2292755,20.38942756,249.6961727,24.77835721,337.9895262,41.67213318,256.8676486
109,WBGene00006956,233.2607116,2.278472823,0.1336447941,17.04872112,3.57E-65,5.63E-63,86.04482152,352.8333917,69.32405371,373.3988638,94.68872218,443.8336147,65.79810502,380.16412
110,WBGene00017506,1787.807361,0.8518912318,0.05014494485,16.9885765,9.98E-65,1.56E-62,1258.289863,2464.778822,1265.503804,2248.029151,1254.846804,2232.509765,1320.348641,2258.15204
111,WBGene00002055,308.4517754,2.202926919,0.1302209397,16.9168409,3.38E-64,5.23E-62,112.8760024,503.4699973,73.40193922,441.3589842,128.3164927,577.2505329,120.6298592,510.3103953
112,WBGene00003704,605.1573155,1.789109448,0.1057692866,16.91520767,3.48E-64,5.33E-62,284.0404323,896.7427463,213.4093418,849.1197066,325.658409,1080.677038,256.6126096,934.998241
113,WBGene00001772,304.6546484,1.87992026,0.1115139782,16.85815797,9.14E-64,1.39E-61,121.2029206,420.569315,131.8516316,471.1392616,132.7411993,472.2958906,134.8861153,552.5508531
114,WBGene00019963,207.8642344,2.334189668,0.1385125492,16.85182809,1.02E-63,1.53E-61,69.3909851,340.7015845,72.04264405,292.4575968,61.94589302,380.68294,72.37791552,373.314316
115,WBGene00014252,2068.647127,0.7745729188,0.04602402425,16.8297521,1.48E-63,2.21E-61,1536.779017,2616.426412,1632.5135,2637.463549,1466.347782,2598.961567,1477.167458,2583.517728
116,WBGene00019619,291.7362667,1.780343656,0.1060631692,16.78569167,3.11E-63,4.60E-61,125.8289863,436.7450579,150.881764,487.1747957,130.0863753,462.5119832,122.8231294,417.8380418
117,WBGene00010539,10584.20453,0.6598285878,0.03931156757,16.78459112,3.16E-63,4.65E-61,8502.708707,13092.2419,7660.987582,13312.54763,8423.756509,12818.6975,8223.666492,12639.02995
118,WBGene00011059,1677.60444,0.8077852823,0.04819762226,16.75985753,4.80E-63,6.98E-61,1208.328354,2087.681816,1198.898341,2108.290926,1226.528682,2253.856472,1245.777455,2091.473477
119,WBGene00013103,517.3134289,1.507255451,0.09014847781,16.71969941,9.42E-63,1.36E-60,293.2925637,688.4800566,251.4696066,716.2538532,269.9071053,812.064309,258.8058797,848.2340575
120,WBGene00019839,183.3042054,3.232357883,0.1938518854,16.67436908,2.01E-62,2.88E-60,49.03629613,312.3940345,16.31154205,297.0391779,38.93741847,420.7080155,32.89905251,299.1081064
121,WBGene00000609,10137.07676,1.840905832,0.1105851261,16.64695694,3.18E-62,4.52E-60,4565.001606,13781.73294,4947.834422,15618.61014,4306.124506,18237.20328,3880.991561,15759.11565
122,WBGene00021095,361.2028676,2.308583359,0.139212009,16.58321991,9.22E-62,1.30E-59,150.8097409,549.9752581,82.91700542,520.7730574,136.2809646,712.4463434,109.6635084,626.7570627
123,WBGene00000671,301.9973693,2.073553558,0.1251832659,16.56414332,1.27E-61,1.77E-59,106.3995105,394.2837329,127.7737461,530.6998166,116.8122554,556.7932721,115.1466838,468.0699375
124,WBGene00011561,15691.68526,0.6993161344,0.0423367008,16.51796482,2.72E-61,3.77E-59,12305.33469,19346.18849,11108.16014,19995.54733,12605.10429,19639.85981,11817.33966,18715.9477
125,WBGene00019520,126.4584018,3.33563265,0.2020624561,16.50792886,3.22E-61,4.42E-59,31.45724658,230.5043361,25.82660824,206.1711518,19.46870923,257.9393753,14.25625609,226.0435308
126,WBGene00014666,1119.003685,1.106158075,0.06709521587,16.48639267,4.60E-61,6.27E-59,730.9183763,1488.168346,706.8334888,1384.401104,701.7584737,1541.410129,696.3632781,1702.176285
127,WBGene00008851,200.3641335,2.876876768,0.1746333091,16.47381466,5.66E-61,7.65E-59,68.46577196,321.4928899,33.98237927,320.7106805,54.86636239,407.3663237,30.70578234,365.3228781
128,WBGene00004155,203.7375337,3.315722467,0.2015928738,16.44761744,8.72E-61,1.17E-58,36.08331225,300.2622273,29.90449376,281.0036439,38.05247714,511.4315199,43.86540335,389.2971919
129,WBGene00008760,299.3108733,2.37663837,0.1445560288,16.4409495,9.74E-61,1.30E-58,123.0533469,441.7999776,93.79136678,445.1769685,81.41460225,630.6173002,87.73080669,490.9026174
130,WBGene00002051,158.1288099,3.102875341,0.1887641842,16.43783938,1.03E-60,1.35E-58,37.93373852,254.7679505,32.6230841,226.7882669,28.31812252,346.8839874,32.89905251,304.8162764
131,WBGene00007425,199.588025,2.829793151,0.1729115378,16.36555425,3.37E-60,4.42E-58,61.98928002,393.2727489,29.90449376,274.894869,53.98142106,397.5824163,47.1553086,337.9236622
132,WBGene00010266,1715.305503,1.099538534,0.06719003843,16.36460642,3.42E-60,4.45E-58,1083.424581,2249.439245,982.7704085,2186.177806,1157.503258,2630.092182,1137.210582,2295.825962
133,WBGene00018643,182.5104102,2.171123024,0.1328585982,16.3416072,4.99E-60,6.45E-58,74.9422639,282.0645166,66.60546337,294.7483873,61.06095169,312.1955887,62.50819977,305.9579104
134,WBGene00000963,370.381313,1.598406561,0.09802203583,16.3066044,8.86E-60,1.14E-57,164.687938,518.6347563,216.1279322,537.5721883,171.6786178,567.4666256,187.5245993,599.3578468
135,WBGene00011856,5667.094957,0.588919649,0.03619858027,16.26913665,1.63E-59,2.08E-57,4608.486624,6906.031228,4485.674064,6508.899621,4563.642433,6930.564179,4440.275454,6893.186055
136,WBGene00003762,362.8278694,1.812083904,0.1114423503,16.26028076,1.89E-59,2.39E-57,143.4080359,554.0191939,142.7259929,498.6287485,193.802151,628.838408,160.1087222,581.0917029
137,WBGene00000216,19994.42365,0.6053549368,0.03723863431,16.25609929,2.02E-59,2.54E-57,16066.32608,23431.57455,16327.85359,25152.11692,16046.64112,24026.60808,15004.16121,23900.10766
138,WBGene00015913,41244.8843,0.5132777168,0.03158567035,16.25033476,2.22E-59,2.77E-57,34027.48866,48430.1742,32612.20974,48405.16845,34746.33633,49688.01814,34544.00514,47505.67376
139,WBGene00017440,1943.946465,0.7562637189,0.04663840911,16.2154699,3.92E-59,4.85E-57,1433.155146,2432.427337,1516.973411,2418.311251,1382.278356,2381.047267,1455.234756,2532.144199
140,WBGene00011880,499.9654547,1.872746399,0.1157125983,16.18446416,6.49E-59,7.96E-57,233.1537099,671.2933298,182.1455529,726.9442092,238.0492174,967.7173803,200.6842203,779.7360179
